Item/SKU	Handle	Color	Material	Finish	Width	Depth	Height
UFM802A-DRK GRY VELVET CC-68-LS	greta-loveseat	DARK GREY	FABRIC / WOOD / STAINLESS STEEL	n/a	65	36	39
UFM802A-DRK GRY VELVET CC-68-S	greta-sofa	DARK GREY	FABRIC / WOOD / STAINLESS STEEL 	n/a	82	36	39
U8360-BLANCHE BLACK-CH	gretchen-chair	BLACK	n/a	n/a	46	34	36
U8360-BLANCHE BLACK-LS	gretchen-loveseat	BLACK	n/a	n/a	66	34	36
U8360-BLANCHE BLACK-S	gretchen-sofa	BLACK	n/a	n/a	82	34	36
U1867-LT06 CHALK LG-PR W/ PHR	griselda-power-reclining-chair-with-power-adjusting-headrest	LIGHT CHALK	WOOD / 	n/a	36	34	43
U1867-LT06 CHALK LG-PCRLS W/PHR	griselda-power-reclining-loveseat-with-cupholder-console	LIGHT CHALK	WOOD / 	n/a	72	34	43
U1867-LT06 CHALK LG-PRS W/ PHR & DDT	griselda-power-reclining-sofa	LIGHT CHALK	WOOD / 	n/a	84	34	43
U2033-GREY-CH	guinevere-chair	Grey	PU / Eucalyptus & Plywood 	n/a	40	38	33
U2033-GREY-L	guinevere-loveseat	Grey	PU / Eucalyptus & Plywood 	n/a	59	38	33
U2033-GREY-S	guinevere-sofa	Grey	PU / Eucalyptus & Plywood 	n/a	76	38	33
UFM801-DRK GRY VELVET CC-68-CH	gwen-chair	DARK GREY	FABRIC / WOOD / STAINLESS STEEL	n/a	40	34	39
UFM801-DRK GRY VELVET CC-68-LS	gwen-loveseat	DARK GREY	FABRIC / WOOD / STAINLESS STEEL	n/a	66	34	39
UFM801-DRK GRY VELVET CC-68-S	gwen-sofa	DARK GREY	FABRIC / WOOD / STAINLESS STEEL	n/a	82	34	39
U9303C-BR-G/R W/CONTRAST STITCHING(M) (SP)	gwendolyn-reclining-chair	BROWN	BONDED LEATHER / WOOD / METAL	n/a	37	39	40
U9303C-BR-R/L W/CONTRAST STITCHING(M) (SP)	gwendolyn-reclining-loveseat	BROWN	BONDED LEATHER / WOOD / METAL	n/a	61	39	40
U9303C-BR-R/S W/CONTRAST STITCHING(M) (SP)	gwendolyn-reclining-sofa	BROWN	BONDED LEATHER / WOOD / METAL	n/a	82	39	40
U9090-BLANCHE LIVDITY/STEEL-PR	gwenevere-power-reclining-chair	Blanche Lividity  (steel grey with contrast light grey accent)	MOTOR FUNCTION	n/a	42	36	40
U9090-BLANCHE LIVDITY/STEEL-PRLS	gwenevere-power-reclining-loveseat	Blanche Lividity  (steel grey with contrast light grey accent)	MOTOR FUNCTION	n/a	65	36	40
U9090-BLANCHE LIVDITY/STEEL-PRS	gwenevere-power-reclining-sofa	Blanche Lividity  (steel grey with contrast light grey accent)	MOTOR FUNCTION	n/a	83	36	40
U8351-CH	gwyndolin-chair	BLANCHE PEARL/AGNES AUBURN	Leather Gel / Eucalyptus & Plywood 	n/a	47	39	37
U8351-LS 	gwyndolin-loveseat	BLANCHE PEARL/AGNES AUBURN	Leather Gel / Eucalyptus & Plywood 	n/a	71	39	37
U8351-S 	gwyndolin-sofa	BLANCHE PEARL/AGNES AUBURN	Leather Gel / Eucalyptus & Plywood 	n/a	87	39	37
