Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
AVA-WHITE--MR	gili-mirror	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	36.5	1	37.5
AVA-BLACK-NS	gili-nightstand	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	24	16	26
AVA-WHITE--NS	gili-nightstand	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	24	16	26
AYDEN-ESPRESSO-CH	gilit-chest	ESPRESSO	RUBBER WOOD,TROPICAL WOOD,BIRCH BERTULA VENEER,MDF,CB,PLYWOOD	n/a	34	16	51
AYDEN-ESPRESSO-DR	gilit-dresser	ESPRESSO	RUBBER WOOD,TROPICAL WOOD,BIRCH BERTULA VENEER,MDF,CB,PLYWOOD	n/a	59	16.25	38
AYDEN-ESPRESSO-MR	gilit-mirror	ESPRESSO	RUBBER WOOD,TROPICAL WOOD,BIRCH BERTULA VENEER,MDF,CB,PLYWOOD	n/a	39.5	1	35
AYDEN-ESPRESSO-NS	gilit-nightstand	ESPRESSO	RUBBER WOOD,TROPICAL WOOD,BIRCH BERTULA VENEER,MDF,CB,PLYWOOD	n/a	26	16	25
BAYVIEW-WHITE-CH 	ginevra-chest	High Gloss Smooth White	MDF	n/a	31	18	47.5
BAYVIEW-WHITE-DR	ginevra-dresser	High Gloss Smooth White	MDF	n/a	61.5	18	36
BAYVIEW-WHITE-M	ginevra-mirror	High Gloss Smooth White	MDF	n/a	40	1.5	37.5
BAYVIEW-WHITE-NS	ginevra-nightstand	High Gloss Smooth White	MDF	n/a	25.5	15.5	24.5
SALERNO-BL-FB	gino-bed	BLACK	MDF/ Chip Board/ Solid Wood/ Plywood	n/a	78.5	57	58.5
SALERNO-BL-KB	gino-bed	BLACK	MDF/ Chip Board/ Solid Wood/ Plywood	n/a	84	79	58.5
SALERNO-BL-QB	gino-bed	BLACK	MDF/ Chip Board/ Solid Wood/ Plywood	n/a	64	84	59
SALERNO-M-FB	gino-bed	NEW MERLOT	MDF/ Chip Board/ Solid Wood/ Plywood	n/a	78.5	57	58.5
SALERNO-M-KB	gino-bed	NEW MERLOT	MDF/ Chip Board/ Solid Wood/ Plywood	n/a	83	79	58.5
SALERNO-M-QB	gino-bed	NEW MERLOT	MDF/ Chip Board/ Solid Wood/ Plywood	n/a	85	63.75	58.5
MANHATTAN(961-M)-EKB 	giovanni-bed	BLACK HG	MDF & Particle Board 	n/a	90	80	44
MANHATTAN(961-M)-QB	giovanni-bed	BLACK HG	MDF & Particle Board 	n/a	76	80	44
MANHATTAN(961-M)-CH	giovanni-chest	BLACK HG	MDF & Particle Board 	n/a	35	20	48
MANHATTAN(961-M)-D	giovanni-dresser	BLACK HG	MDF & Particle Board 	n/a	63	20	32
MANHATTAN(961-M)-M	giovanni-mirror	BLACK HG	MDF & Particle Board 	n/a	36	1	39
MANHATTAN(961-M)-NS	giovanni-nightstand	BLACK HG	MDF & Particle Board 	n/a	26	20	20
BEVERLY-BL-FB	glad-bed	METALLIC BLACK	Solid wood with finger joint /No Veneer	n/a	81	67	67
BEVERLY-BL-KB	glad-bed	METALLIC BLACK	Solid wood with finger joint /No Veneer	n/a	87	90	67
BEVERLY-BL-QB	glad-bed	METALLIC BLACK	Solid wood with finger joint /No Veneer	n/a	87	74	67
BEVERLY-METALLIC BLACK-CH	glad-chest	Metallic Black with crystal accents	Solid wood with finger joint /No Veneer	n/a	35	17	50
BEVERLY-METALLIC BLACK-DR	glad-dresser	Metallic Black with crystal accents	Solid wood with finger joint /No Veneer	n/a	64	17	39
BEVERLY-METALLIC BLACK-MR	glad-mirror	Metallic Black with crystal accents	Solid wood with finger joint /No Veneer	n/a	44	43	1
BEVERLY-METALLIC BLACK-NS	glad-nightstand	Metallic Black with crystal accents	Solid wood with finger joint /No Veneer	n/a	26	17	29
JULIET-KB	glenn-bed	n/a	Pine solid with Acacia veneer / Ball Bearing Glides	n/a	98	82	73
JULIET-QB	glenn-bed	SILVER	Pine solid with Acacia veneer / Ball Bearing Glides	n/a	98	68	70
JULIET-CH	glenn-chest	SILVER	Pine solid with Acacia veneer	n/a	41	19	55
JULIET-DR	glenn-dresser	SILVER	Pine solid with Acacia veneer	n/a	68	20	40
JULIET-MR	glenn-mirror	SILVER	Pine solid with Acacia veneer	n/a	51	41	4
JULIET-NS	glenn-nightstand	SILVER	Pine solid with Acacia veneer	n/a	30	18	29
BORDEAUX-FB 	gloriana-bed	Gold	n/a	n/a	84	62	78
BORDEAUX-KB	gloriana-bed	Gold	n/a	n/a	88	83	78
BORDEAUX-QB	gloriana-bed	Gold	n/a	n/a	88	67	78
BORDEAUX-PU/GOLD-CH	gloriana-chest	n/a	Poplar wood, MDF, Birch Veneer	n/a	42	20	58
BORDEAUX-PU/GOLD-DR 	gloriana-dresser	n/a	Poplar wood, MDF, Birch Veneer	n/a	68	21	41
BORDEAUX-PU/GOLD-MR	gloriana-mirror	n/a	Poplar wood, MDF, Birch Veneer, PU	n/a	48	2	46
BORDEAUX-PU/GOLD-NS 	gloriana-nightstand	n/a	Poplar wood, MDF, Birch Veneer	n/a	31	19.5	31
CARTER-FB	gloriann-bed	BLACK	Rubberwood with finger joint ; MDF 	n/a	82	60	56
CARTER-KB	gloriann-bed	BLACK	Rubberwood with finger joint ; MDF 	n/a	86	82	56
CARTER-QB	gloriann-bed	BLACK	Rubberwood with finger joint ; MDF 	n/a	86	66	56
CARTER - CH	gloriann-chest	BLACK	Rubberwood with finger joint ; MDF 	n/a	34	16	48
CARTER - D	gloriann-dresser	BLACK	Rubberwood with finger joint ; MDF 	n/a	60	16	36
CARTER - M	gloriann-mirror	BLACK	Rubberwood with finger joint ; MDF 	n/a	43	2	37
CARTER - NS	gloriann-nightstand	BLACK	Rubberwood with finger joint ; MDF 	n/a	28	16	26
PORTOFINO-GOLD-FB	goldie-bed	GOLD	Rubber wood with finger joint /No Veneer	n/a	79	56.5	64
PORTOFINO-GOLD-KB	goldie-bed	GOLD	Rubber wood with finger joint /No Veneer	n/a	85	79	64
PORTOFINO-GOLD-QB	goldie-bed	GOLD	Rubber wood with finger joint /No Veneer	n/a	85	63	64
PORTOFINO-GOLD-CH	goldie-chest	n/a	Rubber wood with finger joint /No Veneer	n/a	38	17	57
PORTOFINO-GOLD-DR	goldie-dresser	n/a	Rubber wood with finger joint /No Veneer	n/a	65	17	42
PORTOFINO-GOLD-MR 	goldie-mirror	n/a	Rubber wood with finger joint /No Veneer	n/a	41	1.5	38.5
PORTOFINO-GOLD-NS	goldie-nightstand	n/a	Rubber wood with finger joint /No Veneer	n/a	26	17	29.5
SEVILLE-FB	gonzalo-bed	GREY	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	77.5	57	50
SEVILLE-KB	gonzalo-bed	GREY	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	83	79	50
SEVILLE-QB	gonzalo-bed	GREY	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	83	63.5	50
SEVILLE-MALAMINE GREY-CH	gonzalo-chest	n/a	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	34.5	17	51.5
SEVILLE-MALAMINE GREY-DR	gonzalo-dresser	n/a	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	62	16	39.5
SEVILLE-MALAMINE GREY-MR	gonzalo-mirror	n/a	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	49	39	2
SEVILLE-MALAMINE GREY-NS	gonzalo-nightstand	n/a	MDF/MDF Chipboard, Veneer, Rubberwood	n/a	26	17	27
PISA-FB	gordon-bed	METALLIC GREY	Solid Wood w/ finger joint - no veneer	n/a	77.5	56	42
PISA-KB	gordon-bed	METALLIC GREY	Solid Wood w/ finger joint - no veneer	n/a	79	86	62
PISA-QB	gordon-bed	METALLIC GREY	Solid Wood w/ finger joint - no veneer	n/a	86	63	62
PISA-METALLIC GREY-CH	gordon-chest	METALLIC GREY	solid wood w/finger joint - no veneer	n/a	34	17	50
PISA-METALLIC GREY-DR	gordon-dresser	METALLIC GREY	solid wood w/finger joint - no veneer	n/a	64	17	38
PISA-METALLIC GREY-MR W/LIGHT	gordon-mirror	METALLIC GREY	solid wood w/finger joint - no veneer	n/a	46	2	40
PISA-METALLIC GREY-NS	gordon-nightstand	METALLIC GREY	solid wood w/finger joint - no veneer	n/a	26	17	29
CASSIE-WH-KB	gote-bed	WHITE/SILVER	SOLID WOOD W/FINGER JOINT / NO VENEER	n/a	n/a	n/a	n/a
CASSIE-WH-QB	gote-bed	WHITE/SILVER	SOLID WOOD W/FINGER JOINT / NO VENEER	n/a	87	63.5	56.5
CASSIE-WHITE/SILVER-CH	gote-chest	HIGH GLOSS FINISH W/METALLIC SHEEN	SOLID WOOD W/FINGER JOINT / NO VENEER	n/a	33	16.5	50.5
CASSIE-WHITE/SILVER-DR	gote-dresser	HIGH GLOSS FINISH W/METALLIC SHEEN	SOLID WOOD W/FINGER JOINT / NO VENEER	n/a	63	16.5	39
CASSIE-WHITE/SILVER-MR	gote-mirror	HIGH GLOSS FINISH W/METALLIC SHEEN	SOLID WOOD W/FINGER JOINT / NO VENEER	n/a	40	2	44
CASSIE-WHITE/SILVER-NS	gote-nightstand	HIGH GLOSS FINISH W/METALLIC SHEEN	SOLID WOOD W/FINGER JOINT / NO VENEER	n/a	26	16.5	30
CATANIA-FB	gracella-bed	MATTE BLACK W/MIRROR ACCENTS	SOLID WOOD W/FINGER JOINT 	n/a	80.5	56.5	64
CATANIA-KB	gracella-bed	MATTE BLACK W/MIRROR ACCENTS	SOLID WOOD W/FINGER JOINT 	n/a	87.5	80	64
CATANIA-QB	gracella-bed	MATTE BLACK W/MIRROR ACCENTS	SOLID WOOD W/FINGER JOINT 	n/a	87.25	63	64
CATANIA-BLACK-CH	gracella-chest	Matte black w/mirror accents	n/a	n/a	38.5	17.25	51
CATANIA-BLACK-DR	gracella-dresser	Matte black w/mirror accents	n/a	n/a	65	16.75	42
CATANIA-BLACK-MR	gracella-mirror	Matte black w/mirror accents	n/a	n/a	47	1.75	41.5
CATANIA-BLACK-NS	gracella-nightstand	Matte black w/mirror accents	n/a	n/a	26	17	30
DIANA-BL-FB	gracelynne-bed	BLACK	MDF, Birch Veneer	n/a	86	59	69
DIANA-BL-KB	gracelynne-bed	BLACK	MDF, Poplar Wood	n/a	91.5	65	72
DIANA-BL-QB	gracelynne-bed	BLACK	MDF, Poplar Wood	n/a	91.5	65	69
DIANA-BR-FB	gracelynne-bed	BROWN	MDF, Birch Veneer	n/a	86	59	69
DIANA-BR-KB	gracelynne-bed	Brown	MDF, Birch Veneer	n/a	91.5	65	69
DIANA-BR-QB	gracelynne-bed	Brown	MDF, Birch Veneer	n/a	91.5	65	69
DIANA-S-FB	gracelynne-bed	SILVER	MDF, Birch Veneer	n/a	86	59	69
DIANA-S-KB	gracelynne-bed	SILVER	MDF, Poplar Wood	n/a	91.5	65	69
DIANA-S-QB	gracelynne-bed	SILVER	MDF, Poplar Wood	n/a	91.5	65	69
DIANA-BLACK-BENCH	gracelynne-bench	BLACK	n/a	n/a	52	20	18
