Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	1520	21137	VANITY DESK	 $ 1,271.60 		1	190	30.32	Versailles
2022	1520	21138	VANITY STOOL	 $ 330.00 		1	35	7.33	Versailles
2022	85	21144CK	CAL.KING BED	 $ 2,788.50 	3		322	96.67	Versailles
2022	85	21147EK	EASTERN KING BED	 $ 2,788.50 	3		346	100.47	Versailles
2022	85	21150Q	QUEEN BED	 $ 2,530.00 	3		318	74.6	Versailles
2022	222	21266EK	EASTERN KING PU BED WITH &R&DRW  (11 LVL SLATS)	 $ 735.90 	4		163	33.48	Kofi
2022	222	21270Q	QUEEN PU BED WITH &R&DRW  (22 BENDWOOD SLATS)	 $ 591.80 	4		152	27.87	Kofi
2022	118	21287EK	EASTERN KING BED  (CK&EASTERN KING SHARE  HB&FB)	 $ 861.30 	3		217	18.53	Andria
2022	118	21290Q	QUEEN BED	 $ 688.60 	3		153	15.43	Andria
2022	118	21293	NIGHTSTAND	 $ 282.70 		1	84	10.17	Andria
2022	118	21294	MIRROR	 $ 172.70 		1	43	4.67	Andria
2022	118	21295	DRESSER	 $ 719.40 		1	188	29.34	Andria
2022	118	21296	CHEST	 $ 611.60 		1	164	24.94	Andria
2022	165	21453	NIGHTSTAND	 $ 207.90 		1	57	10.94	Ireland - I/Storage
2022	165	21454	MIRROR	 $ 106.70 		1	31	1.8	Ireland - I/Storage
2022	165	21455	DRESSER	 $ 621.50 		1	139	28.37	Ireland - I/Storage
2022	165	21456	CHEST	 $ 473.00 		1	128	23.19	Ireland - I/Storage
2022	290	21520T	TWIN BED	 $ 112.20 		1	43	2.38	Donato
2022	291	21522T	TWIN BED	 $ 161.70 		1	51	4.58	Donato -
2022	290	21528T-W	TWIN BED	 $ 112.20 		1	43	2.38	Donato
2022	165	21590F	FULL BED WITH STORAGE	 $ 1,019.70 	4		302	44.86	Ireland
2022	165	21596EK	EK BED WITH STORAGE	 $ 1,194.60 	4		314	53.46	Ireland
2022	165	21600Q	QUEEN BED WITH STORAGE	 $ 1,057.10 	4		305	38.26	Ireland
2022	162	21606EK	EK BED WITH STORAGE	 $ 1,298.00 	4		352	53.46	Ireland
2022	162	21610Q	QUEEN BED WITH STORAGE	 $ 1,156.10 	4		333	43.34	Ireland
