Given SKU	Chosen Collection Name	Given Description	Handle Suffix	Chosen Handle
T648CT (M)	n/a	COFFEE TABLE	n/a	gamila-coffee-table
T648ET (M)	n/a	END TABLE	n/a	gamila-end-table
T716CT 	n/a	COFFEE TABLE	n/a	ganet-coffee-table
T716ET	n/a	END TABLE	n/a	ganet-end-table
T858C	n/a	COFFEE TABLE	n/a	ganya-coffee-table
T93C	n/a	COFFEE TABLE WHITE HG/GREY	n/a	gauri-coffee-table
T987C	n/a	COFFEE TABLE	n/a	gavin-coffee-table
T987E	n/a	END TABLE	n/a	gavin-end-table
D10012BT	gavina	Bar Table	counter-height-table	gavina-counter-height-table
D1181BT-BL	gavra	Bar Table Black	counter-height-table	gavra-counter-height-table
D1181BT-WH 	gavra	Bar Table White	counter-height-table	gavra-counter-height-table
D1503BT	geela	BAR TABLE	counter-height-table	geela-counter-height-table
D1628BT	gem	BAR TABLE	counter-height-table	gem-counter-height-table
D368BT	gemma	BAR TABLE	counter-height-table	gemma-counter-height-table
D4040BT	genesee	BAR TABLE	counter-height-table	genesee-counter-height-table
D4041BT	gensis	Bar Table	counter-height-table	gensis-counter-height-table
D4126BT	geneva	BAR TABLE	counter-height-table	geneva-counter-height-table
D7035BT	geonna	BAR TABLE	counter-height-table	geonna-counter-height-table
M208BT (M)	gerda	BAR TABLE	counter-height-table	gerda-counter-height-table
2191-GREY-KB	gerard	KING BED		
2191-GREY-QB	gerard	QUEEN BED		
8103-BR-FB (M) 	gerhardina	FULL BED BROWN		
8103-BR-KB (M)	gerhardina	KING BED BROWN		
8103-BR-QB (M) 	gerhardina	QUEEN BED BROWN		
8103-BR-TB (M)	gerhardina	TWIN BED BROWN		
8103-P-FB (M)	gerhardina	FULL BED PINK		
8103-P-TB (M)	gerhardina	TWIN BED PINK		
8103-WH- KB (M)	gerhardina	KING BED WHITE		
8103-WH- QB (M)	gerhardina	QUEEN BED WHITE		
8103-WH- TB (M)	gerhardina	TWIN BED WHITE		
8103-WH-FB (M)	gerhardina	FULL BED WHITE		
8269-WH-KB (M) 	germain	KING BED WHITE		
8269-WH-QB (M)	germain	QUEEN BED WHITE		
8272-BL- KB (M)	gertraud	KING BED BLACK		
8272-BL- QB (M)	gertraud	QUEEN BED BLACK		
8272-GR- KB (M)	gertraud	KING BED GREY		
8272-GR-QB (M) 	gertraud	QUEEN BED GREY		
8819-GR-FB	ghita	FULL BED		
8819-GR-KB	ghita	KING BED		
8819-GR-QB	ghita	QUEEN BED		
8820-FB	gianara	FULL BED		
8820-KB	gianara	KING BED		
8820-QB	gianara	QUEEN BED		
9088-BL-FB	gianina	FULL BED		
9088-BL-KB	gianina	KING BED		
9088-BL-QB	gianina	QUEEN BED		
9097-S-FB	gila	FULL BED		
9097-S-KB	gila	KING BED		
9097-S-QB	gila	QUEEN BED		
9098-GR-FB	gilana	FULL BED		
9098-GR-KB	gilana	KING BED		
9098-GR-QB	gilana	QUEEN BED		
9652-BL PU/GR-KB W/STEREO & LIGHT	gilat	BLACK KING BED		
9652-BL PU/GR-QB W/STEREO & LIGHT	gilat	BLACK QUEEN BED		
9652-WH PU/GR-KB W/STEREO & LIGHT	gilat	WHITE KING BED		
9652-WH PU/GR-QB W/STEREO & LIGHT	gilat	WHITE QUEEN BED		
ATHENA-ASH BEIGE-CH	gilbert	CHEST		
ATHENA-ASH BEIGE-DR	gilbert	DRESSER		
ATHENA-ASH BEIGE-MR 	gilbert	MIRROR		
ATHENA-ASH BEIGE-NS	gilbert	NIGHT STAND		
ATHENA-BEIGE-KB	gilbert	KING BED		
ATHENA-BEIGE-QB	gilbert	QUEEN BED		
AURORA-W-CH (M)	gilberta	CHEST		
AURORA-W-D (M) 	gilberta	DRESSER		
AURORA-W-EU (M)	gilberta	ENTERTAINMENT UNIT		
AURORA-W-FB (M)	gilberta	FULL BED WENGE		
AURORA-W-KB (M)	gilberta	KING BED WENGE		
AURORA-W-M (M) 	gilberta	MIRROR		
AURORA-W-NS (M)	gilberta	NIGHTSTAND		
AURORA-W-QB (M)	gilberta	QUEEN BED WENGE		
AURORA-WH-CH (M) 	gilberta	CHEST		
AURORA-WH-D (M)	gilberta	DRESSER		
AURORA-WH-EU (M)	gilberta	ENTERTAINMENT UNIT		
AURORA-WH-FB (M)	gilberta	FULL BED WHITE		
AURORA-WH-KB (M)	gilberta	KING BED WHITE		
AURORA-WH-M (M)	gilberta	MIRROR		
AURORA-WH-NS (M)	gilberta	NIGHTSTAND		
AURORA-WH-QB (M)	gilberta	QUEEN BED WHITE		
AVA-BLACK-CH	gili	CHEST		
AVA-BLACK-DR	gili	DRESSER		
AVA-BLACK-FB	gili	FULL BED		
AVA-BLACK-KB	gili	KING BED		
AVA-BLACK-MR	gili	MIRROR		
AVA-BLACK-NS	gili	NIGHTSTAND		
AVA-BLACK-QB	gili	QUEEN BED		
AVA-WHITE--CH	gili	CHEST		
AVA-WHITE--MR	gili	MIRROR		
AVA-WHITE--NS	gili	NIGHTSTAND		
AVA-WHITE-DR	gili	DRESSER		
AVA-WHITE-FB	gili	FULL BED		
AVA-WHITE-KB	gili	KING BED		
AVA-WHITE-QB	gili	QUEEN BED		
AYDEN-ESPRESSO-CH	gilit	CHEST ANTIQUE GREY		
AYDEN-ESPRESSO-DR	gilit	DRESEER ANTIQUE GREY		
AYDEN-ESPRESSO-MR	gilit	MIRROR ANTIQUE GREY		
AYDEN-ESPRESSO-NS	gilit	NIGHT ANTIQUE GREY		
BAYVIEW-WHITE-CH 	ginevra	CHEST		
BAYVIEW-WHITE-DR	ginevra	DRESSER		
BAYVIEW-WHITE-M	ginevra	MIRROR		
BAYVIEW-WHITE-NS	ginevra	NIGHTSTAND		
