Package Width,Package Depth,Package Height
67,20,18
67,20,18
67,7,43
20.47,23.23,40.55
70.87/90.55/110.24,39.37,29.53
59,19,31
59,19,31
39,16.5,57
75/95/115,41,29.5
18,18,38.5
59.06,15.75,37.8
39.37,15.75,77.17
78.74,39.37,29.53
39.37,1.97,39.37
59.06,15.75,23.62
23,22,42
23,22,42
58,3,42
68.25,18,33.5
68.25,18,33.5
69,18,88
69,18,88
51,28,18
73/91,42,31
23,22,42
23,22,42
24.01,26.77,40.94
,,
85.83,22.83,36.61
68.9,1.1,44.88
72.05,18.09,87.01
,,
,,
,,
78.74/98.42,43.31,30.31
,,
58,58,
21.26,26.77,40.94
,,
,,
80,19,34
55,1,32
71/89,41,30
40,17,73
68.5,17.8,33
47.5,37.5,1
43.5,17.8,71
69/87/105,41.35,30
19,16,42
80,20,32.5
57,0.8,31
42,18,75
79/90.5/102,41,30
18,21.5,41.3
19.69,24.41,40.94
,,
,,
84,21,34
58,2,37
,,
,,
,,
80,21,84
,,
,,
78.74/98.43,46.46,30.7
,,
,,
,,
19.69,19.69,40.94
,,
,,
47,1,36
64,19,36
63,1,33
43,19,77
19,22,40
63/79,35,29.5
20,22,41
20,22,41
63,19,32
63,19,32
,,
,,
63,19,85
63,19,85
71/89,41,30
71/89,41,30
20,22,41
20,22,41
65,18,32
41,18,75
41,1,43
71/89,41,30
19,16,42
44,19,75
21,19,41
79,21,34
21,19,41
44,19,75
79/97,41,30
47,1,36
65,19.3,33.5
63,2,32
65,19.3,78.4
43,17,75
82.5,19,18
71/88.4,41,30
18.5,20.5,44
18.5,20.5,44
64,19,18
27,17,75
51,32,17
27,17,75
17.32,21.65,38.19
79,20.5,33.5
79,20.5,33.5
47,1,36
43.5,19,75
43.5,19,75
20.5,18.5,20/41
20.5,18.5,20/41
79/97,40.5,29.5
79/97,40.5,29.5
62.99/86.61,35.43,29.92
79,34,21
52,1,34
43,19,76
79/97,29,40.5
,,
63,35,29.5
71,35,29.5
17,20,37
