KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
PB-572 1422	bespoke-pillow-rug	Rug	n/a	n/a	Wool & Silkette	n/a	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-572_1526575157.jpg	n/a
PB-572 2222	bespoke-pillow-rug	Rug	n/a	n/a	Wool & Silkette	Soumak Weave	22" 22"	n/a	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-572_1526575157.jpg	n/a
PB-574 1422	bespoke-pillow-rug	Rug	n/a	Abstract Blue / Grey	Wool & Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-574_1489595967.jpg	n/a
PB-574 2222	bespoke-pillow-rug	Rug	n/a	Abstract Blue / Grey	Wool & Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-574_1489595967.jpg	n/a
PB-576 1422	bespoke-pillow-rug	Rug	n/a	Pearl Grey / Multi	Wool & Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-576_1489595949.jpg	n/a
PB-576 2222	bespoke-pillow-rug	Rug	n/a	Pearl Grey / Multi	Wool & Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-576_1489595949.jpg	n/a
PB-579 1422	bespoke-pillow-rug	Rug	n/a	Abstract Linens	Wool & Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-579_1489595932.jpg	n/a
PB-579 2222	bespoke-pillow-rug	Rug	n/a	Abstract Linens	Wool & Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-579_1489595932.jpg	n/a
PB-774 1422	bespoke-pillow-rug	Rug	n/a	Earhty Strie	Wool & Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-774_1489595682.jpg	n/a
PB-774 2222	bespoke-pillow-rug	Rug	n/a	Earhty Strie	Wool & Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-774_1489595682.jpg	n/a
PB-776 1422	bespoke-pillow-rug	Rug	n/a	n/a	Wool & Silkette	n/a	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-776_1514992303.jpg	n/a
PB-776 2222	bespoke-pillow-rug	Rug	n/a	n/a	Wool & Silkette	Soumak Weave	22" 22"	n/a	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-776_1514992303.jpg	n/a
PB-948 1422	bespoke-pillow-rug	Rug	n/a	Platinum	Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/medium/PL-948_1489595914.jpg	n/a
PB-948 2222	bespoke-pillow-rug	Rug	n/a	Platinum	Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/medium/PL-948_1489595914.jpg	n/a
