KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
SU-128 2612	soumak-rug	Rug	n/a	Sftgld	Wool	Soumak	2'6"	12'	0.5	21	Double-Sided	330	http://kalaty.com/productimages/large/SU-128 NP.jpg	n/a
SU-128 48	soumak-rug	Rug	n/a	Sftgld	Wool	Soumak	4'	8'	0.5	22	Double-Sided	350	http://kalaty.com/productimages/large/SU-128 NP.jpg	n/a
SU-128 69	soumak-rug	Rug	n/a	Sftgld	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-128 NP.jpg	n/a
SU-128 R6	soumak-rug	Rug	n/a	Sftgld	Wool	Soumak	6' Round	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-128 NP.jpg	n/a
SU-128 S6	soumak-rug	Rug	n/a	Sftgld	Wool	Soumak	6' Square	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-128 NP.jpg	n/a
SU-129 1014	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	10'	14'	0.5	98	Double-Sided	1540	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-129 2610	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	2'6"	10'	0.5	18	Double-Sided	280	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-129 410	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	4'	10'	0.5	28	Double-Sided	440	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-129 69	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-129 810	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	8'	10'	0.5	56	Double-Sided	880	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-129 R10	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	10' Round	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-129 R6	soumak-rug	Rug	n/a	Ivygrn	Wool	Soumak	6' Round	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-129 NP.jpg	n/a
SU-141 23	soumak-rug	Rug	n/a	Ivyblk	Wool	Soumak	2'	3'	0.5	5	Double-Sided	70	http://kalaty.com/productimages/large/SU-141.jpg	n/a
