sku	locations.la_qty	locations.sf_qty	locations.fl_qty	locations.ga_qty	locations.tx_qty	locations.nj_qty	locations.ny_qty	locations.la_warehouse_eta
72192	66	5	10	6	2	0	3	NONE
52703	0	0	2	0	2	0	0	NONE
52708	0	0	0	2	0	0	0	NONE
52713	0	0	3	0	1	0	0	NONE
97022	28	2	5	4	2	0	14	NONE
26218	52	1	0	2	2	0	1	2023-01-19
97173	204	2	1	3	2	0	2	NONE
27973	151	2	16	84	47	30	91	NONE
27994	0	2	2	0	0	0	1	NONE
97264	310	2	0	3	0	0	2	NONE
30613	108	0	1	3	4	0	3	NONE
10284	0	0	0	1	0	0	2	NONE
61032	98	6	3	7	9	1	13	2023-02-08
70657	0	2	0	0	0	0	0	NONE
70832	271	0	0	2	2	0	0	NONE
71157	0	2	0	0	1	0	0	NONE
71158	0	2	0	0	0	0	0	NONE
71526	0	1	0	0	0	0	0	NONE
71527	0	1	0	0	0	0	0	NONE
71528	0	0	0	0	1	0	0	NONE
71717	237	2	3	2	3	3	2	NONE
73172	142	5	6	0	6	0	3	NONE
73832	257	3	1	3	1	0	2	NONE
96059	0	0	0	0	0	0	1	NONE
96062	0	2	0	0	0	0	0	NONE
96168	0	1	0	0	1	0	0	NONE
96169	0	1	0	0	0	0	0	NONE
67992	2	1	0	0	0	0	0	NONE
59523	0	0	0	0	0	0	0	NONE
59524	0	0	0	0	0	0	0	NONE
80255	46	1	1	0	0	0	2	NONE
80558	0	0	0	0	0	0	0	NONE
80622	201	3	1	2	4	218	0	NONE
80752	0	0	0	0	0	0	1	NONE
96622	0	0	0	0	1	0	1	NONE
55103	2	1	0	0	0	0	0	NONE
55132	14	6	5	0	4	1	1	NONE
84890	5	1	1	0	0	0	0	NONE
87992	0	0	1	0	0	0	0	NONE
97625	11	0	3	2	0	6	2	NONE
91437	0	0	0	0	2	0	0	NONE
27943	0	6	7	5	1	0	5	NONE
30870T	0	2	0	0	0	0	0	NONE
30624	1	3	4	3	0	0	0	NONE
30669	0	0	0	1	0	0	2	NONE
30684	0	0	0	0	0	0	1	NONE
60003	261	55	14	17	95	7	20	2023-01-19
60743	229	6	0	1	1	49	1	NONE
71857	129	3	6	3	2	4	2	NONE
71997	0	0	0	0	2	0	1	NONE
72322	0	1	0	0	0	0	0	NONE
51177	1	1	0	0	0	0	0	NONE
51197	0	0	1	0	0	0	0	NONE
81172	34	0	3	0	3	0	0	NONE
83940	120	1	3	0	2	2	0	NONE
26243	155	1	22	10	3	11	0	NONE
26263	371	8	9	24	1	18	1	NONE
26314	80	1	0	2	3	1	5	NONE
27014	2	1	1	6	2	0	0	NONE
27053	0	7	43	8	11	1	8	NONE
21804	61	5	7	4	0	2	1	NONE
30509	89	0	0	0	0	0	0	NONE
30612	103	0	3	5	2	0	1	NONE
30623	56	0	2	2	0	2	0	NONE
62078	606	1	12	34	19	118	31	NONE
62079	613	3	4	14	3	20	0	NONE
62096	0	0	0	0	1	0	2	NONE
64092	1	0	0	0	2	0	2	NONE
66112	0	3	0	0	1	0	0	NONE
70004	124	4	1	1	1	0	2	NONE
71742	0	0	0	0	1	0	0	NONE
71767	30	0	2	1	0	1	2	NONE
72412	0	1	0	2	0	0	0	NONE
73187	2	1	1	0	0	0	0	NONE
60173	78	0	0	1	1	0	0	NONE
62322	82	4	2	3	2	0	11	2023-02-08
72457	241	0	1	0	0	0	0	NONE
50845	0	2	0	0	0	0	0	NONE
53466	10	0	1	1	2	0	0	NONE
53467	17	1	0	1	3	1	0	NONE
56883	11	0	0	12	2	11	0	NONE
56884	11	0	2	10	10	7	0	NONE
59520	37	0	0	0	0	0	0	NONE
59776	0	0	0	0	0	0	0	NONE
80284	14	1	1	0	1	0	69	NONE
81412	157	0	15	2	3	6	35	NONE
81417	55	0	16	3	4	2	1	NONE
81498	0	1	0	0	0	0	0	NONE
82096	48	2	2	2	8	0	2	NONE
83161	111	1	0	3	9	3	1	NONE
55102	2	2	0	0	0	0	0	NONE
55107	0	0	1	0	0	0	0	NONE
84917	35	0	0	2	1	0	0	NONE
84922	8	0	0	3	0	0	1	NONE
92277	48	0	2	2	3	0	3	NONE
92282	56	0	1	0	1	2	1	NONE
92822	62	1	1	0	1	3	2	NONE
84932	59	0	3	0	2	0	3	NONE
85967	24	1	0	0	3	0	12	NONE
39097	92	0	1	0	0	0	2	NONE
39102	129	0	0	0	0	0	0	NONE
97266	0	0	0	0	0	0	2	NONE
71722	2	2	0	0	1	0	0	NONE
71992	0	1	3	0	2	0	1	NONE
72537	222	2	4	2	2	8	2	2023-01-28
72547	308	0	2	2	2	11	6	2023-01-28
73152	0	0	1	0	7	0	33	NONE
73182	22	2	1	0	2	0	3	NONE
40021	0	0	0	0	0	0	0	NONE
59332	197	0	8	0	3	0	1	NONE
80121	0	2	0	0	0	0	0	NONE
83084	0	1	0	0	0	0	1	NONE
84547	12	1	2	1	0	0	0	2023-01-25
92192	0	1	0	0	1	0	0	NONE
92513	0	0	0	0	0	0	0	NONE
45005	67	2	7	1	2	0	3	NONE
26114	22	2	1	3	2	3	3	2023-01-27
26283	0	0	0	0	0	0	2	NONE
26543	221	10	22	1	2	2	2	NONE
27104	0	0	2	0	0	1	1	NONE
27204	0	1	1	0	0	0	1	NONE
29126	0	1	0	0	0	0	0	NONE
37078 KIT	0	0	0	0	0	0	0	NONE
24854	75	17	2	20	13	13	13	NONE
37276	97	1	1	2	3	22	1	NONE
37882	26	0	3	0	0	0	0	NONE
37892	28	0	0	0	1	0	0	NONE
37902	34	0	0	1	2	0	0	NONE
37912	36	1	0	1	1	0	2	NONE
60077	0	0	1	0	0	0	0	NONE
60258	127	5	2	1	0	1	2	NONE
60683	0	1	3	0	3	1	2	NONE
60823	468	2	7	14	4	7	3	NONE
62072	574	1	31	41	0	77	28	NONE
66103	0	2	0	0	0	0	0	NONE
70504	0	0	0	0	0	0	1	NONE
71772	0	1	0	0	0	0	0	NONE
71852	1	0	2	1	0	0	2	NONE
72032	0	1	0	0	0	0	1	NONE
96066KIT	0	2	0	0	0	0	0	NONE
96171	0	1	0	0	0	0	0	NONE
61802	208	6	5	5	7	7	0	NONE
81177	2	0	0	0	3	0	0	2023-02-08
83107	233	1	2	2	3	0	2	NONE
84587	3	2	0	0	1	1	2	NONE
86932	16	1	1	2	2	0	6	NONE
97388	42	1	5	6	7	0	0	NONE
97206	0	0	0	0	0	0	2	NONE
28043	0	0	0	0	0	0	0	2023-02-05
30749	0	0	0	0	0	0	2	NONE
37348	6	0	0	1	1	0	0	NONE
64084	0	0	1	0	1	0	0	2023-02-08
70436	2	0	0	0	0	0	0	NONE
53305	48	4	0	0	4	0	0	NONE
8327	3	0	0	0	0	0	0	NONE
17059A	0	0	0	0	0	0	0	NONE
705	0	0	0	0	0	0	0	
11283	2	0	0	1	0	0	0	NONE
6569	11	0	0	0	0	0	0	NONE
02362KD	0	0	0	7	4	0	0	NONE
10117	0	1	0	0	0	0	0	NONE
728	0	0	0	0	0	0	0	
03032A	0	1	0	0	0	0	0	NONE
02361A	3	0	0	0	2	1	0	NONE
02188A-YL	0	1	0	0	0	0	0	NONE
02557A	16	0	0	0	0	0	0	NONE
07256BK	0	1	0	0	0	0	0	NONE
07825B-END	2	1	0	0	0	0	0	NONE
07242C	0	2	3	0	0	0	0	NONE
09296H	0	0	0	0	0	0	0	NONE
02185A	14	0	0	0	0	0	0	NONE
15291	10	0	0	0	0	0	0	NONE
07055B	1	0	0	0	1	0	0	NONE
07055C	0	0	0	0	1	0	0	NONE
02277-4	0	0	0	0	0	0	0	
02375ST	7	0	0	0	0	0	0	NONE
02987NG	24	0	0	0	0	0	0	NONE
02641-C1	0	0	0	0	0	0	0	
02362A	0	0	0	0	1	0	0	NONE
07059B	0	0	0	2	0	0	0	NONE
07410V	0	3	0	1	0	0	0	NONE
02018W	0	0	0	0	0	0	0	NONE
07057A	0	0	0	0	2	0	0	NONE
17173	9	4	0	0	0	0	0	NONE
02186A	19	3	0	0	0	0	0	NONE
11880	11	0	0	0	0	0	0	NONE
25017EK	0	0	0	0	4	0	0	NONE
12483	0	0	0	0	0	0	0	NONE
11018	0	0	0	0	2	0	0	NONE
12605	6	0	0	0	1	0	0	NONE
23714	0	2	0	0	0	0	0	NONE
22426	0	0	0	0	0	0	2	NONE
37235AT	0	0	0	2	0	0	0	NONE
15957	0	2	0	0	0	0	0	NONE
17706	0	0	0	0	0	0	2	NONE
11848C	2	0	0	0	0	0	1	NONE
19444CK-FB	0	1	0	0	0	0	0	NONE
21474	0	0	0	0	0	0	4	NONE
92890-1								NONE
92892-1								NONE
59130	0	0	1	0	0	0	0	NONE
59733	0	1	0	0	0	0	0	NONE
59612	0	1	0	0	0	0	0	NONE
97600	538	7	5	7	18	0	0	NONE
97930	50	0	0	0	0	0	0	NONE
97933	85	1	0	0	3	25	25	NONE
97936	0	0	0	0	0	0	0	NONE
97937	0	0	0	0	0	25	16	NONE
97957	0	0	0	0	0	0	0	NONE
97958	5	0	5	0	0	2	22	NONE
27237	0	0	0	0	0	0	0	NONE
54552	0	0	0	0	0	1	0	NONE
56092	0	0	0	0	0	0	0	NONE
52422	35	15	0	4	7	9	4	NONE
25666	0	0	0	0	0	0	1	NONE
