Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
SARA2DOORW/D	Sara 2-Door Ward		847	1482.25	0	39	24	67	225																							0	4	Top-Bottom-Shelf	6	42	24	0	Set of Side Panels	2	68	24	0	Set of Doors	2	66	20	0	Back Panel	1	64	38	0																																																								i11105	p6970			
	Apolo Pearl SET	Stock Color : #31 Perl, Shiny Crocodile embossed leather  Upholstery Material: Top-grain Leather/Split Leather on the Back. Removable Cushions This luxury furniture will add new look to your space. 	2340	4095							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sofas Loveseats and Chairs	Living Room,3 pcs Sets,Classic,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_10.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_11.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_12.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Classic-3-pcs-Sets_Apolo-Pearl_side_13.jpg																																																																														p9247		White, Light Beige	Top-grain Leather Front/Split Leather Back	Shiny
APOLOCTABLEPEARL	Apolo Coffee Tabel Pearl		250	437.5	0	49	25	21	65																							0	2	Box 1	27	51	3	15	Box 2	27	51	23	50																																																																		i22001	p9247			
APOLOENDTABLEPEARL	Apolo End Tabel Pearl		180	315	0	27	25	21	40																							0	2	Box 1	27	29	3	10	Box 2	27	29	23	30																																																																		i22002	p9247			
APOLO3PEARL	Apolo Sofa (NO BED) Pearl		1030	1802.5	1	87	38	37.4	237																							1	1	Box 1	40	90	40	247																																																																							i21486	p9247			
APOLO2PEARL	Apolo Lovesea Pearl		770	1347.5	1	69	38	37.4	158																							1	1	Box 1	40	71	40	168																																																																							i21487	p9247			
APOLO1PEARL	Aplolo Chair Pearl		540	945	1	48	38	35.4	59																							1	1	Box 1	40	50	40	70																																																																							i21488	p9247			
APOLO3BEDPEARL	Apolo Sofa-Bed Pearl		1220	2135	0	87	38	37.4	300																							0	1	Box 1	40	90	40	310																																																																							i21489	p9247			
	1705 with Electric Recliners SET	Sofa w/2 electric recliners Loveseat w/2 electric recliner Chair w/electric recliner  Living Room Furniture Sets 1705 w/Electric Recliner Set is characterized by its simple shapes that make it an ideal fit for rooms designed in various styles.  Material: Top-grain Leather/Eco Leather Back Color: Light Grey  Stock leather Color : HL Light grey 8015 Fully reclined length: 63.39" (161cm) Seat Height – 18 inches Seat Dept – 20 inches 	2730	4777.5							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sofas Loveseats and Chairs	Living Room,3 pcs Sets,Recliner, sliding, massage,Modern,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Recliners_1705-Electric-Recliner_side_2.jpg																																																																																			p9506		White, Grey/Silver	Top-grain Leather Front/Eco Leather Back	N/A
17051	1705 1 Chair w/1 electric recliner		590	1032.5	1	43	39	40	135																							1	1	Box1	43	47	44	145																																																																							i21849	p9506			
17052	1705 2 Loveseat w/2 electric recliners		970	1697.5	1	66	39	40	207																							1	1	Box 2	43	70	44	217																																																																							i21848	p9506			
17053	1705 3 Sofa w/2 electric recliners		1170	2047.5	1	85	39	40	266																							1	1	1705 sofa	43	88	43	270																																																																							i21847	p9506			
